STATION_ID,STATION NAME,CTRY,LAT,LON,ELEV(M),BEGIN,END
01001099999,JAN MAYEN(NOR-NAVY),NO,+70.933,-008.667,+0009.0,19310101,20250824
01001499999,SORSTOKKEN / STORD,NO,+59.792,+005.341,+0048.8,19861120,20250824
01002099999,VERLEGENHUKEN,NO,+80.050,+016.250,+0008.0,19861109,20250824
01003099999,HORNSUND,NO,+77.000,+015.500,+0012.0,19850601,20250824
01006099999,EDGEOYA,NO,+78.250,+022.817,+0014.0,19730101,20250824
01007099999,NY-ALESUND,SV,+78.917,+011.933,+0007.7,19730106,20250824
01008099999,LONGYEAR,SV,+78.246,+015.466,+0026.8,19750929,20250824
01009099999,KARL XII OYA,SV,+80.650,+025.000,+0005.0,19550101,20250824
01010099999,ANDOYA,NO,+69.293,+016.144,+0013.1,19310103,20250824
01011099999,KVITOYA,SV,+80.067,+031.500,+0010.0,19861118,20250824
01015099999,HEKKINGEN FYR,NO,+69.600,+017.833,+0014.0,19800314,20250824
01016099999,KONGSOYA,NO,+78.933,+028.900,+0020.0,19930501,20250824
01017099999,AKSELOYA,SV,+77.683,+014.783,+0006.0,19730101,20250824
01020099999,SORKAPPOYA,SV,+76.483,+016.550,+0010.0,20101008,20250824
01023099999,BARDUFOSS,NO,+69.056,+018.540,+0076.8,19400713,20250824
01023199999,DRAUGEN,NO,+64.350,+007.800,+0000.0,20040510,20250824
01025099999,TROMSO,NO,+69.683,+018.919,+0009.4,19730101,20250824
01026099999,TROMSO,NO,+69.650,+018.933,+0114.5,19970201,20250824
01027099999,TROMSO-HOLT,NO,+69.650,+018.900,+0020.0,20110928,20250824
01028099999,BJORNOYA ISLAND,NO,+74.517,+019.017,+0018.0,19310103,20250824
01030099999,KISTEFJELL,NO,+69.283,+018.133,+0982.0,19510101,20250824
01033099999,TORSVAG FYR,NO,+70.250,+019.500,+0024.0,19730101,20250824
01035099999,LYNGEN GJERDVASSBU,NO,+69.567,+020.100,+0710.0,19730101,20250824
01037099999,SKIBOTN 2,NO,+69.383,+020.283,+0020.0,19730101,20250824
01042099999,HASVIK-SLUSKFJELLET,NO,+70.600,+022.450,+0438.0,20080917,20250824
01043099999,ROGNSUNDET,NO,+70.417,+022.817,+0010.0,19730101,20250824
01044099999,HASVIK,NO,+70.487,+022.140,+0006.4,20050102,20250824
01045099999,NORDSTRAUM I KVAENANGEN,NO,+69.833,+021.883,+0006.0,19730101,20250824
01046099999,SORKJOSEN,NO,+69.787,+020.959,+0004.9,19750905,20250824
01047099999,KAUTOKEINO II,NO,+69.017,+023.067,+0307.0,19730101,20250824
01049099999,ALTA,NO,+69.976,+023.372,+0002.7,19730101,20250824
01052099999,HAMMERFEST AP,NO,+70.683,+023.683,+0081.0,19401008,20250824
01055099999,FRUHOLMEN FYR,NO,+71.100,+023.983,+0014.2,19310101,20250824
01057099999,CUOVDDATMOHKKI,NO,+69.367,+024.433,+0286.0,19730101,20250824
01058099999,SUOLOVUOPMI LULIT,NO,+69.567,+023.533,+0381.0,20050218,20250824
01059099999,BANAK / LAKSELV,NO,+70.069,+024.973,+0007.6,19730101,20250824
01062099999,HOPEN ISLAND,NO,+76.500,+025.067,+0010.0,19550101,20250824
01065099999,KARASJOK,NO,+69.467,+025.517,+0133.0,19730101,20250824
01068099999,HONNINGSVAG/VALAN,NO,+71.017,+025.983,+0014.0,19800604,20250824
01074099999,MEHAMN,NO,+71.033,+027.833,+0013.0,19750905,20250824
01076099999,TANABRU,NO,+70.217,+028.167,+0032.0,20121121,20250824
01078099999,SLETTNES FYR,NO,+71.100,+028.233,+0010.0,19730101,20250824
01082099999,NYRUD,NO,+69.150,+029.250,+0056.0,19730919,20250824
01083099999,BERLEVAG,NO,+70.867,+029.033,+0013.0,19750905,20250824
01084099999,PASVIK,NO,+69.450,+030.033,+0027.0,19730101,20250824
01086099999,BATSFJORD,NO,+70.600,+029.693,+0149.4,20050101,20250824
01087699999,NORNE OIL PLATFORM,NO,+66.017,+008.083,+0090.0,20110101,20250824
01087799999,TROLL A  OIL PLATFORM,NO,+60.633,+003.717,+0090.0,20110101,20250824
01087899999,SNORRE A  OIL PLATFORM,NO,+61.450,+002.133,+0090.0,20110101,20250824
01087999999,SNORRE B  OIL PLATFORM,NO,+61.533,+002.200,+0090.0,20110101,20250824
01088099999,VADSO,NO,+70.067,+029.850,+0039.0,19750905,20250824
01088299999,ROROS,NO,+62.578,+011.342,+0626.1,20050102,20250824
01088699999,SLEIPNER A OIL PLATFORM,NO,+58.367,+001.900,+0030.0,20090201,20250824
01088799999,TROLL C OIL PLATFORM,NO,+60.886,+003.610,+0020.0,20110512,20250824
01089099999,HOYBUKTMOEN / KIRKENES,NO,+69.726,+029.893,+0086.3,19401101,20250824
01092099999,MAKKAUR FYR,NO,+70.700,+030.083,+0009.0,19730101,20250824
01098099999,VARDO,NO,+70.367,+031.100,+0015.0,19310103,20250824
01099099999,VARDO AP / SVARTNES,NO,+70.355,+031.045,+0012.8,20050102,20250824
